+++++++++++++++++++++++++++++++++++++++++++++
++++++++++       REPORT INFO       ++++++++++
+++++++++++++++++++++++++++++++++++++++++++++


SUMMARY
===============================================
|     Property     |          Value           |
===============================================
| User             | runner                   |
| Host             | fd6d1668300a             |
| Tool             | Riviera-PRO 2022.04      |
| Report file      | /home/runner/f_cov.txt   |
| Report date      | 2023-09-29 12:34         |
| Report arguments | -verbose                 |
| Input file       | /home/runner/fcover.acdb |
| Input file date  | 2023-09-29 12:34         |
| Number of tests  | 1                        |
===============================================


TEST DETAILS
==============================================
| Property |              Value              |
==============================================
| Test     | fcover.acdb:fcover              |
| Status   | Ok                              |
| Args     | asim +access+r                  |
| Simtime  | 2630 ns                         |
| Cputime  | 1.750 s                         |
| Seed     | 1                               |
| Date     | 2023-09-29 12:34                |
| User     | runner                          |
| Host     | fd6d1668300a                    |
| Host os  | Linux64                         |
| Tool     | Riviera-PRO 2022.04 (simulator) |
==============================================


+++++++++++++++++++++++++++++++++++++++++++++
++++++++++     DESIGN HIERARCHY    ++++++++++
+++++++++++++++++++++++++++++++++++++++++++++


CUMULATIVE SUMMARY
=============================================
|    Coverage Type    | Weight | Hits/Total |
=============================================
| Covergroup Coverage |      1 |   100.000% |
|---------------------|--------|------------|
| Types               |        |      1 / 1 |
=============================================
CUMULATIVE INSTANCE-BASED COVERAGE: 100.000%
COVERED INSTANCES: 1 / 1
FILES: 1


CLASS - /\package testbench_pkg\/adder_sequence : work.testbench_pkg/\testbench_pkg adder_sequence \


    SUMMARY
    =============================================
    |    Coverage Type    | Weight | Hits/Total |
    =============================================
    | Covergroup Coverage |      1 |   100.000% |
    |---------------------|--------|------------|
    | Types               |        |      1 / 1 |
    =============================================
    WEIGHTED AVERAGE LOCAL: 100.000%


    COVERGROUP COVERAGE
    ===================================================================================
    |                   Covergroup                    |   Hits   |  Goal /  | Status  |
    |                                                 |          | At Least |         |
    ===================================================================================
    | TYPE /\package testbench_pkg\/adder_sequence/cg | 100.000% | 100.000% | Covered |
    ===================================================================================
    | INSTANCE <UNNAMED1>                             | 100.000% | 100.000% | Covered |
    |-------------------------------------------------|----------|----------|---------|
    | COVERPOINT <UNNAMED1>::a                        | 100.000% | 100.000% | Covered |
    |-------------------------------------------------|----------|----------|---------|
    | bin range[0]                                    |      109 |        1 | Covered |
    | bin range[1]                                    |      116 |        1 | Covered |
    | bin range[2]                                    |       83 |        1 | Covered |
    | bin range[3]                                    |       87 |        1 | Covered |
    | bin range[4]                                    |       87 |        1 | Covered |
    | bin range[5]                                    |       98 |        1 | Covered |
    | bin range[6]                                    |       93 |        1 | Covered |
    | bin range[7]                                    |       89 |        1 | Covered |
    | bin range[8]                                    |       86 |        1 | Covered |
    | bin range[9]                                    |       95 |        1 | Covered |
    | bin range[10]                                   |       82 |        1 | Covered |
    | bin range[11]                                   |      100 |        1 | Covered |
    | bin range[12]                                   |      106 |        1 | Covered |
    | bin range[13]                                   |       98 |        1 | Covered |
    | bin range[14]                                   |      100 |        1 | Covered |
    | bin range[15]                                   |       94 |        1 | Covered |
    |-------------------------------------------------|----------|----------|---------|
    | COVERPOINT <UNNAMED1>::b                        | 100.000% | 100.000% | Covered |
    |-------------------------------------------------|----------|----------|---------|
    | bin range[0]                                    |      102 |        1 | Covered |
    | bin range[1]                                    |       78 |        1 | Covered |
    | bin range[2]                                    |      101 |        1 | Covered |
    | bin range[3]                                    |       90 |        1 | Covered |
    | bin range[4]                                    |      108 |        1 | Covered |
    | bin range[5]                                    |       98 |        1 | Covered |
    | bin range[6]                                    |       93 |        1 | Covered |
    | bin range[7]                                    |       93 |        1 | Covered |
    | bin range[8]                                    |       85 |        1 | Covered |
    | bin range[9]                                    |       81 |        1 | Covered |
    | bin range[10]                                   |       95 |        1 | Covered |
    | bin range[11]                                   |      104 |        1 | Covered |
    | bin range[12]                                   |       86 |        1 | Covered |
    | bin range[13]                                   |      103 |        1 | Covered |
    | bin range[14]                                   |      104 |        1 | Covered |
    | bin range[15]                                   |      102 |        1 | Covered |
    |-------------------------------------------------|----------|----------|---------|
    | CROSS <UNNAMED1>::aXb                           | 100.000% | 100.000% | Covered |
    |-------------------------------------------------|----------|----------|---------|
    | bin <range[0],range[0]>                         |        8 |        1 | Covered |
    | bin <range[0],range[1]>                         |        6 |        1 | Covered |
    | bin <range[0],range[2]>                         |        6 |        1 | Covered |
    | bin <range[0],range[3]>                         |        8 |        1 | Covered |
    | bin <range[0],range[4]>                         |        7 |        1 | Covered |
    | bin <range[0],range[5]>                         |        7 |        1 | Covered |
    | bin <range[0],range[6]>                         |        4 |        1 | Covered |
    | bin <range[0],range[7]>                         |        4 |        1 | Covered |
    | bin <range[0],range[8]>                         |       10 |        1 | Covered |
    | bin <range[0],range[9]>                         |        2 |        1 | Covered |
    | bin <range[0],range[10]>                        |        7 |        1 | Covered |
    | bin <range[0],range[11]>                        |        4 |        1 | Covered |
